steps,date,interval
15,03-10-2012,1230
0,03-10-2012,1235
0,03-10-2012,1240
0,03-10-2012,1245
0,03-10-2012,1250
0,03-10-2012,1255
80,03-10-2012,1300
69,03-10-2012,1305
0,03-10-2012,1310
0,03-10-2012,1315
0,03-10-2012,1320
0,03-10-2012,1325
0,03-10-2012,1330
0,03-10-2012,1335
0,03-10-2012,1340
99,03-10-2012,1345
100,03-10-2012,1350
0,03-10-2012,1355
0,03-10-2012,1400
33,03-10-2012,1405
0,03-10-2012,1410
0,03-10-2012,1415
7,03-10-2012,1420
0,03-10-2012,1425
0,03-10-2012,1430
0,03-10-2012,1435
0,03-10-2012,1440
0,03-10-2012,1445
0,03-10-2012,1450
0,03-10-2012,1455
0,03-10-2012,1500
0,03-10-2012,1505
0,03-10-2012,1510
0,03-10-2012,1515
0,03-10-2012,1520
0,03-10-2012,1525
0,03-10-2012,1530
0,03-10-2012,1535
0,03-10-2012,1540
88,03-10-2012,1545
154,03-10-2012,1550
0,03-10-2012,1555
20,03-10-2012,1600
0,03-10-2012,1605
0,03-10-2012,1610
0,03-10-2012,1615
0,03-10-2012,1620
0,03-10-2012,1625
0,03-10-2012,1630
0,03-10-2012,1635
0,03-10-2012,1640
0,03-10-2012,1645
0,03-10-2012,1650
0,03-10-2012,1655
0,03-10-2012,1700
0,03-10-2012,1705
198,03-10-2012,1710
61,03-10-2012,1715
75,03-10-2012,1720
0,03-10-2012,1725
0,03-10-2012,1730
193,03-10-2012,1735
298,03-10-2012,1740
0,03-10-2012,1745
15,03-10-2012,1750
21,03-10-2012,1755
0,03-10-2012,1800
0,03-10-2012,1805
0,03-10-2012,1810
0,03-10-2012,1815
51,03-10-2012,1820
36,03-10-2012,1825
0,03-10-2012,1830
26,03-10-2012,1835
22,03-10-2012,1840
0,03-10-2012,1845
39,03-10-2012,1850
52,03-10-2012,1855
15,03-10-2012,1900
41,03-10-2012,1905
0,03-10-2012,1910
42,03-10-2012,1915
0,03-10-2012,1920
0,03-10-2012,1925
159,03-10-2012,1930
32,03-10-2012,1935
0,03-10-2012,1940
0,03-10-2012,1945
0,03-10-2012,1950
0,03-10-2012,1955
34,03-10-2012,2000
0,03-10-2012,2005
0,03-10-2012,2010
0,03-10-2012,2015
0,03-10-2012,2020
36,03-10-2012,2025
73,03-10-2012,2030
9,03-10-2012,2035
0,03-10-2012,2040
0,03-10-2012,2045
0,03-10-2012,2050
0,03-10-2012,2055
0,03-10-2012,2100
0,03-10-2012,2105
0,03-10-2012,2110
0,03-10-2012,2115
0,03-10-2012,2120
0,03-10-2012,2125
90,03-10-2012,2130
128,03-10-2012,2135
46,03-10-2012,2140
0,03-10-2012,2145
0,03-10-2012,2150
0,03-10-2012,2155
0,03-10-2012,2200
0,03-10-2012,2205
0,03-10-2012,2210
0,03-10-2012,2215
0,03-10-2012,2220
0,03-10-2012,2225
0,03-10-2012,2230
0,03-10-2012,2235
0,03-10-2012,2240
0,03-10-2012,2245
0,03-10-2012,2250
0,03-10-2012,2255
0,03-10-2012,2300
0,03-10-2012,2305
0,03-10-2012,2310
0,03-10-2012,2315
0,03-10-2012,2320
0,03-10-2012,2325
0,03-10-2012,2330
0,03-10-2012,2335
0,03-10-2012,2340
8,03-10-2012,2345
0,03-10-2012,2350
0,03-10-2012,2355
47,04-10-2012,0
0,04-10-2012,5
0,04-10-2012,10
0,04-10-2012,15
0,04-10-2012,20
0,04-10-2012,25
0,04-10-2012,30
0,04-10-2012,35
0,04-10-2012,40
0,04-10-2012,45
0,04-10-2012,50
0,04-10-2012,55
0,04-10-2012,100
0,04-10-2012,105
0,04-10-2012,110
0,04-10-2012,115
0,04-10-2012,120
0,04-10-2012,125
0,04-10-2012,130
0,04-10-2012,135
0,04-10-2012,140
0,04-10-2012,145
0,04-10-2012,150
0,04-10-2012,155
0,04-10-2012,200
0,04-10-2012,205
0,04-10-2012,210
0,04-10-2012,215
0,04-10-2012,220
0,04-10-2012,225
0,04-10-2012,230
0,04-10-2012,235
0,04-10-2012,240
0,04-10-2012,245
0,04-10-2012,250
0,04-10-2012,255
0,04-10-2012,300
0,04-10-2012,305
0,04-10-2012,310
0,04-10-2012,315
0,04-10-2012,320
0,04-10-2012,325
0,04-10-2012,330
0,04-10-2012,335
0,04-10-2012,340
0,04-10-2012,345
0,04-10-2012,350
0,04-10-2012,355
0,04-10-2012,400
0,04-10-2012,405
0,04-10-2012,410
0,04-10-2012,415
0,04-10-2012,420
0,04-10-2012,425
0,04-10-2012,430
0,04-10-2012,435
0,04-10-2012,440
0,04-10-2012,445
0,04-10-2012,450
0,04-10-2012,455
0,04-10-2012,500
0,04-10-2012,505
7,04-10-2012,510
18,04-10-2012,515
57,04-10-2012,520
40,04-10-2012,525
0,04-10-2012,530
0,04-10-2012,535
0,04-10-2012,540
0,04-10-2012,545
16,04-10-2012,550
1,04-10-2012,555
0,04-10-2012,600
18,04-10-2012,605
20,04-10-2012,610
40,04-10-2012,615
36,04-10-2012,620
17,04-10-2012,625
49,04-10-2012,630
86,04-10-2012,635
49,04-10-2012,640
0,04-10-2012,645
29,04-10-2012,650
59,04-10-2012,655
7,04-10-2012,700
25,04-10-2012,705
30,04-10-2012,710
31,04-10-2012,715
7,04-10-2012,720
18,04-10-2012,725
113,04-10-2012,730
181,04-10-2012,735
87,04-10-2012,740
0,04-10-2012,745
0,04-10-2012,750
0,04-10-2012,755
57,04-10-2012,800
99,04-10-2012,805
507,04-10-2012,810
522,04-10-2012,815
510,04-10-2012,820
519,04-10-2012,825
508,04-10-2012,830
423,04-10-2012,835
499,04-10-2012,840
259,04-10-2012,845
31,04-10-2012,850
17,04-10-2012,855
0,04-10-2012,900
0,04-10-2012,905
0,04-10-2012,910
0,04-10-2012,915
0,04-10-2012,920
17,04-10-2012,925
0,04-10-2012,930
145,04-10-2012,935
453,04-10-2012,940
229,04-10-2012,945
144,04-10-2012,950
0,04-10-2012,955
0,04-10-2012,1000
0,04-10-2012,1005
82,04-10-2012,1010
0,04-10-2012,1015
0,04-10-2012,1020
0,04-10-2012,1025
0,04-10-2012,1030
0,04-10-2012,1035
0,04-10-2012,1040
0,04-10-2012,1045
0,04-10-2012,1050
0,04-10-2012,1055
0,04-10-2012,1100
0,04-10-2012,1105
0,04-10-2012,1110
0,04-10-2012,1115
0,04-10-2012,1120
180,04-10-2012,1125
21,04-10-2012,1130
0,04-10-2012,1135
0,04-10-2012,1140
0,04-10-2012,1145
0,04-10-2012,1150
0,04-10-2012,1155
160,04-10-2012,1200
79,04-10-2012,1205
0,04-10-2012,1210
0,04-10-2012,1215
0,04-10-2012,1220
46,04-10-2012,1225
66,04-10-2012,1230
127,04-10-2012,1235
0,04-10-2012,1240
0,04-10-2012,1245
0,04-10-2012,1250
0,04-10-2012,1255
0,04-10-2012,1300
0,04-10-2012,1305
31,04-10-2012,1310
0,04-10-2012,1315
0,04-10-2012,1320
0,04-10-2012,1325
0,04-10-2012,1330
0,04-10-2012,1335
28,04-10-2012,1340
496,04-10-2012,1345
78,04-10-2012,1350
0,04-10-2012,1355
0,04-10-2012,1400
0,04-10-2012,1405
0,04-10-2012,1410
0,04-10-2012,1415
0,04-10-2012,1420
0,04-10-2012,1425
0,04-10-2012,1430
77,04-10-2012,1435
20,04-10-2012,1440
7,04-10-2012,1445
1,04-10-2012,1450
128,04-10-2012,1455
354,04-10-2012,1500
310,04-10-2012,1505
0,04-10-2012,1510
0,04-10-2012,1515
25,04-10-2012,1520
15,04-10-2012,1525
0,04-10-2012,1530
0,04-10-2012,1535
0,04-10-2012,1540
0,04-10-2012,1545
33,04-10-2012,1550
33,04-10-2012,1555
32,04-10-2012,1600
66,04-10-2012,1605
77,04-10-2012,1610
0,04-10-2012,1615
44,04-10-2012,1620
0,04-10-2012,1625
0,04-10-2012,1630
0,04-10-2012,1635
0,04-10-2012,1640
0,04-10-2012,1645
0,04-10-2012,1650
0,04-10-2012,1655
0,04-10-2012,1700
0,04-10-2012,1705
0,04-10-2012,1710
0,04-10-2012,1715
0,04-10-2012,1720
40,04-10-2012,1725
0,04-10-2012,1730
37,04-10-2012,1735
90,04-10-2012,1740
53,04-10-2012,1745
73,04-10-2012,1750
92,04-10-2012,1755
285,04-10-2012,1800
527,04-10-2012,1805
531,04-10-2012,1810
547,04-10-2012,1815
175,04-10-2012,1820
114,04-10-2012,1825
62,04-10-2012,1830
0,04-10-2012,1835
59,04-10-2012,1840
65,04-10-2012,1845
0,04-10-2012,1850
101,04-10-2012,1855
43,04-10-2012,1900
0,04-10-2012,1905
0,04-10-2012,1910
0,04-10-2012,1915
49,04-10-2012,1920
21,04-10-2012,1925
0,04-10-2012,1930
16,04-10-2012,1935
56,04-10-2012,1940
0,04-10-2012,1945
0,04-10-2012,1950
0,04-10-2012,1955
0,04-10-2012,2000
0,04-10-2012,2005
0,04-10-2012,2010
0,04-10-2012,2015
0,04-10-2012,2020
0,04-10-2012,2025
0,04-10-2012,2030
0,04-10-2012,2035
17,04-10-2012,2040
15,04-10-2012,2045
0,04-10-2012,2050
0,04-10-2012,2055
27,04-10-2012,2100
106,04-10-2012,2105
122,04-10-2012,2110
41,04-10-2012,2115
35,04-10-2012,2120
6,04-10-2012,2125
0,04-10-2012,2130
0,04-10-2012,2135
68,04-10-2012,2140
0,04-10-2012,2145
0,04-10-2012,2150
0,04-10-2012,2155
0,04-10-2012,2200
0,04-10-2012,2205
0,04-10-2012,2210
0,04-10-2012,2215
0,04-10-2012,2220
0,04-10-2012,2225
0,04-10-2012,2230
0,04-10-2012,2235
0,04-10-2012,2240
0,04-10-2012,2245
0,04-10-2012,2250
0,04-10-2012,2255
0,04-10-2012,2300
0,04-10-2012,2305
0,04-10-2012,2310
0,04-10-2012,2315
0,04-10-2012,2320
0,04-10-2012,2325
0,04-10-2012,2330
0,04-10-2012,2335
0,04-10-2012,2340
0,04-10-2012,2345
0,04-10-2012,2350
0,04-10-2012,2355
0,05-10-2012,0
0,05-10-2012,5
0,05-10-2012,10
0,05-10-2012,15
0,05-10-2012,20
0,05-10-2012,25
0,05-10-2012,30
0,05-10-2012,35
0,05-10-2012,40
0,05-10-2012,45
0,05-10-2012,50
0,05-10-2012,55
0,05-10-2012,100
0,05-10-2012,105
0,05-10-2012,110
0,05-10-2012,115
0,05-10-2012,120
0,05-10-2012,125
0,05-10-2012,130
0,05-10-2012,135
0,05-10-2012,140
9,05-10-2012,145
14,05-10-2012,150
0,05-10-2012,155
0,05-10-2012,200
0,05-10-2012,205
0,05-10-2012,210
0,05-10-2012,215
0,05-10-2012,220
7,05-10-2012,225
